ranking,korTitle,releaseData,sales,audience,nation,producer,year,poster
1,웰컴 투 동막골,20050804,40328508500 ,6436508 ,한국,(주)쇼박스,2005 ,
2,가문의 위기(가문의 영광2),20050907,28622355500 ,4529876 ,한국,(주)쇼박스,2005 ,
3,말아톤,20050127,26284943000 ,4196840 ,한국,(주)쇼박스,2005 ,
4,해리포터와 불의 잔,20051201,20628374500 ,3301353 ,미국,워너브러더스 코리아(주),2005 ,
5,아일랜드,20050721,20363994500 ,3218811 ,미국,워너브러더스 코리아(주),2005 ,
6,공공의 적 2,20050127,20091127000 ,3134421 ,한국,(주)시네마서비스,2005 ,
7,친절한 금자씨,20050729,20483051393 ,3119682 ,한국,씨제이엔터테인먼트,2005 ,
8,태풍,20051214,19372557600 ,3035086 ,한국,씨제이엔터테인먼트,2005 ,
9,미스터 & 미세스 스미스,20050616,18900071500 ,2963193 ,미국,이십세기폭스필름코퍼레이션,2005 ,
10,너는 내 운명,20050923,17653752500 ,2701230 ,한국,씨제이엔터테인먼트,2005 ,
1,괴물,20060727,66715713300 ,10917153 ,한국,(주)쇼박스,2006 ,
2,왕의 남자,20051229,61605851900 ,9793917 ,한국,(주)시네마서비스,2006 ,
3,타짜,20060928,36180800700 ,5685441 ,한국,씨제이엔터테인먼트,2006 ,
4,미션 임파서블 3,20060503,32154883400 ,5127003 ,미국,UIP코리아,2006 ,
5,투사부일체,20060119,31959686000 ,5074314 ,한국,씨제이엔터테인먼트,2006 ,
6,캐리비안의 해적 : 망자의 함,20060706,23832939000 ,3911617 ,미국,브에나비스타인터내셔널코리아,2006 ,
7,한반도,20060713,20597497600 ,3331593 ,한국,씨제이엔터테인먼트,2006 ,
8,미녀는 괴로워,20061214,18919439500 ,3224865 ,한국,(주)쇼박스,2006 ,
9,다빈치 코드,20060518,18873057800 ,3022936 ,미국,소니픽쳐스릴리징코리아,2006 ,
10,가문의 부활 - 가문의 영광3,20060921,15996330400 ,2598859 ,한국,(주)쇼박스,2006 ,
1,디워,20070801,49339934700 ,7855441 ,한국,(주)쇼박스,2007 ,
2,트랜스포머,20070628,47619379338 ,7389696 ,미국,씨제이엔터테인먼트,2007 ,
3,화려한 휴가,20070725,44098449600 ,6855300 ,한국,씨제이엔터테인먼트,2007 ,
4,스파이더맨 3,20070501,29511658000 ,4592309 ,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,2007 ,
